Fecha,CIDIA_m3dia,CIDIA93_m3dia,VOLUMEN_m3,VOLUMEN93_m3,VHOY93_m3,VHOY_m3,FRECUENCIA_Hz,PMA_Kgcm2,PAB_Kgcm2,Fpv,Zb,Zf,SNDVEL7_ms,SNDVEL8_ms,SNDVEL6_ms,SNDVEL5_ms,Etiqueta,SNDVEL_promedio,Q_P_ratio,Q_Z_ratio,Q_Fpv_ratio,Z_Fpv,PMA_Kgcm2_smooth,CIDIA_m3dia_smooth,Zb_smooth,Fpv_smooth,SNDVEL_promedio_smooth,Q_P_ratio_smooth,Q_Z_ratio_smooth,Q_Fpv_ratio_smooth,Z_Fpv_smooth
2025-07-02 17:00:00,4255693,4.244.834,4.594.075,4.559.671,2.200.296,2.208.923,"464,30",68.3,"69,29",1.05,0.9978,"0,9049","437,05","437,10","437,04","436,98",0,4370425,62308.82869692533,4265076.167568651,4053040.9523809524,1.04769,68.25333333333333,4007058.3333333335,0.9978,1.0512000000000001,1.4480083336241098e+16,58681.663503831405,4015893.2985902317,3811908.5310962205,1.04888736
2025-07-02 18:00:00,3225495,3.218.862,4.594.075,4.559.671,2.364.152,2.373.124,"350,25",67.95,"68,93",1.0515,0.9978,"0,9025","435,29","435,35","435,29","435,22",0,4352875,47468.65342163355,3232606.7348165964,3067517.8316690437,1.0491867000000001,68.10333333333334,3694005.0,0.9978,1.0509000000000002,2922300.6666666665,54228.046003473,3702149.72940469,3515334.346078563,1.0485880200000002
2025-07-02 19:00:00,3600827,3.586.844,4.594.075,4.559.671,2.497.017,2.506.352,"390,71",68.06,"69,05",1.0512,0.9978,"0,9031","436,04","436,08","436,01","435,95",0,43602,52906.65589186012,3608766.285828823,3425444.254185693,1.04888736,68.2,3640125.6666666665,0.9978,1.0511666666666668,1.4584750001465494e+16,53354.704115335226,3648151.600187078,3463031.201565841,1.0488541
2025-07-02 20:00:00,4094055,4.069.924,4.594.075,4.559.671,2.649.826,2.659.865,"441,78",68.59,"69,57",1.0508,0.9978,"0,9036","437,59","437,55","437,53","437,50",0,43754249999999996,59688.80303251203,4103081.7799158148,3896131.5188427866,1.04848824,68.83333333333333,4322973.666666667,0.9978,1.0508666666666666,1.4584750000029168e+16,62700.22336371938,4332505.178058395,4113867.1575429025,1.04855476
2025-07-02 21:00:00,5274039,5.226.865,4.594.075,4.559.671,2.857.511,2.869.191,"560,66",69.85,"70,84",1.0506,0.9978,"0,9041","438,98","439,04","438,95","438,91",0,43897,75505.21116678597,5285667.468430547,5020025.699600228,1.04828868,69.41666666666667,4877674.666666667,0.9978,1.0507666666666668,1.4584750001476326e+16,70204.00196367757,4888429.210930714,4642027.348260781,1.0484549799999998
2025-07-02 22:00:00,5264930,5.216.123,4.594.075,4.559.671,3.070.967,3.084.655,"558,82",69.81,"70,79",1.0509,0.9978,"0,9035","438,56","438,54","438,47","438,46",0,4385075,75417.9916917347,5276538.384445781,5009924.826339329,1.04858802,69.53,5421084.0,0.9978,1.0506666666666666,1622572.3333333333,77989.35815579974,5433036.680697534,5159684.60336332,1.0483551999999998
2025-07-02 23:00:00,5724283,5.674.230,4.594.075,4.559.671,3.300.625,3.316.490,"614,78",68.93,"69,91",1.0505,0.9978,"0,9042","438,76","438,81","438,71","438,70",0,438745,83044.87160887856,5736904.189216276,5449103.284150405,1.0481889,69.03666666666668,5941795.0,0.9978,1.0504666666666667,1.4613416668274608e+16,86150.25090859992,5954895.77069553,5656556.036829911,1.04815564
2025-07-03 00:00:00,6836172,6.776.613,,,3.555.068,3.573.270,"741,94",68.37,"69,35",1.05,0.9978,"0,9052","438,44","438,45","438,38","438,34",0,43840250000000003,99987.88942518648,6851244.738424534,6510640.0,1.04769,68.36,6526168.0,0.9978,1.0502666666666667,2.9185333333479584e+16,95524.78382457425,6540557.225896973,6213896.782298128,1.0479560799999998
2025-07-03 01:00:00,7018049,6.975.055,5.451.215,5.423.857,3.845.619,3.865.946,"766,56",67.78,"68,76",1.0503,0.9978,"0,9045","437,15","437,22","437,14","437,12",0,43715749999999997,103541.59043965771,7033522.75005011,6681947.062743978,1.04798934,68.10666666666667,7141114.666666667,0.9978,1.0502,2.918533333347922e+16,104854.1765311546,7156859.7581345625,6799738.865720905,1.04788956
2025-07-03 02:00:00,7569123,7.527.681,5.451.215,5.423.857,4.150.439,4.172.624,"822,61",68.17,"69,16",1.0503,0.9978,"0,9046","437,67","437,68","437,67","437,64",0,437665,111033.04972861962,7585811.785929044,7206629.5344187375,1.04798934,68.09666666666668,7423811.0,0.9978,1.0504333333333333,2.914008333347922e+16,109005.42341771569,7440179.39466827,7067348.253747935,1.04812238
